"step","run-rank0-clicks - _step","run-rank0-clicks - _step__MIN","run-rank0-clicks - _step__MAX","run-rank0-clicks - Click loss","run-rank0-clicks - Click loss__MIN","run-rank0-clicks - Click loss__MAX"
"2606","13026","13026","13026","0.19358013570308685","0.19358013570308685","0.19358013570308685"
"2631","13151","13151","13151","0.19204790890216827","0.19204790890216827","0.19204790890216827"
"2639","13191","13191","13191","0.09700091928243637","0.09700091928243637","0.09700091928243637"
"2666","13326","13326","13326","0.29313820600509644","0.29313820600509644","0.29313820600509644"
"2675","13371","13371","13371","0.2359188199043274","0.2359188199043274","0.2359188199043274"
"2679","13391","13391","13391","0.2245500087738037","0.2245500087738037","0.2245500087738037"
"2680","13396","13396","13396","0.313068151473999","0.313068151473999","0.313068151473999"
"2683","13411","13411","13411","0.31175854802131653","0.31175854802131653","0.31175854802131653"
"2684","13416","13416","13416","0.19714558124542236","0.19714558124542236","0.19714558124542236"
"2697","13481","13481","13481","0.15414609014987946","0.15414609014987946","0.15414609014987946"
"2701","13501","13501","13501","0.16768208146095276","0.16768208146095276","0.16768208146095276"
"2705","13521","13521","13521","0.26137077808380127","0.26137077808380127","0.26137077808380127"
"2714","13566","13566","13566","0.24007272720336914","0.24007272720336914","0.24007272720336914"
"2735","13671","13671","13671","0.15995582938194275","0.15995582938194275","0.15995582938194275"
"2736","13676","13676","13676","0.12879399955272675","0.12879399955272675","0.12879399955272675"
"2738","13686","13686","13686","0.4661356508731842","0.4661356508731842","0.4661356508731842"
"2782","13906","13906","13906","0.2831864058971405","0.2831864058971405","0.2831864058971405"
"2809","14041","14041","14041","0.21789926290512085","0.21789926290512085","0.21789926290512085"
"2814","14066","14066","14066","0.17248879373073578","0.17248879373073578","0.17248879373073578"
"2823","14111","14111","14111","0.21075104176998138","0.21075104176998138","0.21075104176998138"
"2856","14276","14276","14276","0.16072118282318115","0.16072118282318115","0.16072118282318115"
"2871","14351","14351","14351","0.3583706021308899","0.3583706021308899","0.3583706021308899"
"2873","14361","14361","14361","0.17903456091880798","0.17903456091880798","0.17903456091880798"
"2884","14416","14416","14416","0.23399761319160461","0.23399761319160461","0.23399761319160461"
"2913","14561","14561","14561","0.2668512761592865","0.2668512761592865","0.2668512761592865"
"2922","14606","14606","14606","0.15254783630371094","0.15254783630371094","0.15254783630371094"
"2940","14696","14696","14696","0.3055511713027954","0.3055511713027954","0.3055511713027954"
"2951","14751","14751","14751","0.3814121186733246","0.3814121186733246","0.3814121186733246"
"2957","14781","14781","14781","0.13375189900398254","0.13375189900398254","0.13375189900398254"
"3010","15046","15046","15046","0.08188201487064362","0.08188201487064362","0.08188201487064362"
"3026","15126","15126","15126","0.13648191094398499","0.13648191094398499","0.13648191094398499"
"3028","15136","15136","15136","0.44182288646698","0.44182288646698","0.44182288646698"
"3029","15141","15141","15141","0.14569103717803955","0.14569103717803955","0.14569103717803955"
"3031","15151","15151","15151","0.3860322833061218","0.3860322833061218","0.3860322833061218"
"3067","15331","15331","15331","0.17965629696846008","0.17965629696846008","0.17965629696846008"
"3079","15391","15391","15391","0.16800086200237274","0.16800086200237274","0.16800086200237274"
"3083","15411","15411","15411","0.27133840322494507","0.27133840322494507","0.27133840322494507"
"3100","15496","15496","15496","0.2795018255710602","0.2795018255710602","0.2795018255710602"
"3116","15576","15576","15576","0.15270105004310608","0.15270105004310608","0.15270105004310608"
"3134","15666","15666","15666","0.09205792099237442","0.09205792099237442","0.09205792099237442"
"3155","15771","15771","15771","0.17336390912532806","0.17336390912532806","0.17336390912532806"
"3161","15801","15801","15801","0.18687061965465546","0.18687061965465546","0.18687061965465546"
"3242","16206","16206","16206","0.28774523735046387","0.28774523735046387","0.28774523735046387"
"3246","16226","16226","16226","0.18629518151283264","0.18629518151283264","0.18629518151283264"
"3248","16236","16236","16236","0.27965712547302246","0.27965712547302246","0.27965712547302246"
"3250","16246","16246","16246","0.32025963068008423","0.32025963068008423","0.32025963068008423"
"3251","16251","16251","16251","0.1311657577753067","0.1311657577753067","0.1311657577753067"
"3252","16256","16256","16256","0.09528417885303497","0.09528417885303497","0.09528417885303497"
"3257","16281","16281","16281","0.09501590579748154","0.09501590579748154","0.09501590579748154"
"3272","16356","16356","16356","0.23126840591430664","0.23126840591430664","0.23126840591430664"
"3276","16376","16376","16376","0.12951800227165222","0.12951800227165222","0.12951800227165222"
"3281","16401","16401","16401","0.1812351495027542","0.1812351495027542","0.1812351495027542"
"3347","16731","16731","16731","0.1858362853527069","0.1858362853527069","0.1858362853527069"
"3354","16766","16766","16766","0.31847184896469116","0.31847184896469116","0.31847184896469116"
"3357","16781","16781","16781","0.16615203022956848","0.16615203022956848","0.16615203022956848"
"3361","16801","16801","16801","0.2147533893585205","0.2147533893585205","0.2147533893585205"
"3384","16916","16916","16916","0.11927101761102676","0.11927101761102676","0.11927101761102676"
"3409","17041","17041","17041","0.30675482749938965","0.30675482749938965","0.30675482749938965"
"3421","17101","17101","17101","0.22823630273342133","0.22823630273342133","0.22823630273342133"
"3443","17211","17211","17211","0.24732089042663574","0.24732089042663574","0.24732089042663574"
"3445","17221","17221","17221","0.228483185172081","0.228483185172081","0.228483185172081"
"3451","17251","17251","17251","0.48138079047203064","0.48138079047203064","0.48138079047203064"
"3456","17276","17276","17276","0.22335568070411682","0.22335568070411682","0.22335568070411682"
"3459","17291","17291","17291","0.37529540061950684","0.37529540061950684","0.37529540061950684"
"3466","17326","17326","17326","0.2465832233428955","0.2465832233428955","0.2465832233428955"
"3484","17416","17416","17416","0.20847158133983612","0.20847158133983612","0.20847158133983612"
"3489","17441","17441","17441","0.1839517056941986","0.1839517056941986","0.1839517056941986"
"3496","17476","17476","17476","0.25489774346351624","0.25489774346351624","0.25489774346351624"
"3524","17616","17616","17616","0.27281951904296875","0.27281951904296875","0.27281951904296875"
"3533","17661","17661","17661","0.1471787989139557","0.1471787989139557","0.1471787989139557"
"3534","17666","17666","17666","0.46924471855163574","0.46924471855163574","0.46924471855163574"
"3549","17741","17741","17741","0.32771146297454834","0.32771146297454834","0.32771146297454834"
"3557","17781","17781","17781","0.20495307445526123","0.20495307445526123","0.20495307445526123"
"3568","17836","17836","17836","0.30405279994010925","0.30405279994010925","0.30405279994010925"
"3580","17896","17896","17896","0.2811865210533142","0.2811865210533142","0.2811865210533142"
"3582","17906","17906","17906","0.2629866600036621","0.2629866600036621","0.2629866600036621"
"3589","17941","17941","17941","0.1862451732158661","0.1862451732158661","0.1862451732158661"
"3593","17961","17961","17961","0.2760102152824402","0.2760102152824402","0.2760102152824402"
"3596","17976","17976","17976","0.3101540803909302","0.3101540803909302","0.3101540803909302"
"3599","17991","17991","17991","0.20385737717151642","0.20385737717151642","0.20385737717151642"
"3612","18056","18056","18056","0.279116690158844","0.279116690158844","0.279116690158844"
"3620","18096","18096","18096","0.16587354242801666","0.16587354242801666","0.16587354242801666"
"3622","18106","18106","18106","0.4185061752796173","0.4185061752796173","0.4185061752796173"
"3639","18191","18191","18191","0.17070969939231873","0.17070969939231873","0.17070969939231873"
